States/UTs,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,30831,22860,13602,2532,13971,4379,16914,14579,20855
Arunachal Pradesh,160,98,123,200,24,65,31,26,92
Assam,3429,3783,5100,4164,5085,4631,4461,4494,3253
Bihar,1928,2168,1900,2016,2006,1780,926,1687,1528
Chhattisgarh,6186,7002,6553,7485,6569,5365,5717,6346,6331
Goa,2216,1765,1773,1284,1371,1400,1281,1338,1886
Gujarat,21656,20572,21356,19789,16193,15226,13798,12698,12080
Haryana,6444,5444,5231,5115,5101,3643,3645,3647,2043
Himachal Pradesh,2207,3789,3579,4130,4102,4664,5118,4691,921
Jammu & Kashmir,4441,5342,4249,6119,4098,3761,2964,2994,4150
Jharkhand,1130,1948,2216,1649,2032,1470,626,949,428
Karnataka,40190,30967,42001,32734,31114,27688,31879,27940,38823
Kerala,24129,22697,23061,23987,24287,23421,23858,24684,38791
Madhya Pradesh,29830,31008,31421,29776,26078,32956,25135,28742,29787
Maharashtra,38680,18090,21238,28489,27054,26931,22925,24622,22071
Manipur,181,491,299,187,0,0,0,0,144
Meghalaya,205,52,102,74,25,20,17,111,82
Mizoram,77,48,49,72,83,153,144,15,4
Nagaland,96,0,0,0,NA,0,41,0,19
Odisha,4369,1816,4776,3668,3762,3940,4086,6482,5212
Punjab,2077,1451,1332,1379,1696,1615,1374,1985,1783
Rajasthan,16911,15461,14098,14377,13110,12404,12950,12233,13883
Sikkim,126,79,50,12,13,27,56,31,36
Tamil Nadu,30949,26701,29809,28592,35491,28871,37586,44185,52786
Telangana,NA,NA,NA,NA,NA,NA,5429,16519,14358
Tripura,1111,1245,965,596,671,708,862,746,671
Uttarakhand,895,926,713,895,238,838,72,260,501
Uttar Pradesh,4156,4525,2230,3279,3717,2154,1666,4400,5976
West Bengal,4280,3710,175,0,6424,1663,2883,2838,940
Andaman & Nicobar Islands,135,165,276,275,278,217,123,90,151
Chandigarh,52,167,26,NA,106,0,142,113,297
Dadra & Nagar Haveli,120,71,65,210,79,104,28,20,10
Daman & Diu,8,44,14,16,6,14,32,17,53
Delhi,0,0,0,NA,NA,NA,NA,3382,1615
Lakshadweep,5,3,5,0,NA,0,1,0,0
Puducherry,1847,1709,1486,1617,995,1539,329,988,1310
All India,281057,236197,239873,224718,235779,211647,227099,253852,282870
