States/UTs,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,23445,18811,14701,13395,17858,13766,12747,12678,17286
Arunachal Pradesh,49,66,71,89,38,45,16,26,45
Assam,2849,3175,3941,3881,4433,4437,4596,3944,3520
Bihar,2380,3288,2936,3283,2480,2242,1496,2367,2323
Chhattisgarh,6149,6839,6662,7539,6035,5376,6720,6501,6660
Goa,2977,2322,2821,2677,2516,3121,3148,3060,3883
Gujarat,19922,18985,18960,19790,15977,14968,13752,13812,13314
Haryana,6541,5451,5281,5281,5229,4157,4185,4148,2344
Himachal Pradesh,1373,2027,2124,2158,2184,2663,2763,2670,516
Jammu & Kashmir,3228,3897,3083,3655,3527,2980,2859,2849,2428
Jharkhand,1348,2241,2341,1799,2061,1702,1627,1576,652
Karnataka,28646,23177,31121,23826,20967,20575,23370,22337,31506
Kerala,20663,19621,19861,20030,20404,20010,20611,21191,34062
Madhya Pradesh,24049,25506,26887,25398,21755,30030,20967,20311,28017
Maharashtra,46821,31534,33856,41518,39938,39389,29790,37196,23643
Manipur,108,225,144,127,0,0,0,0,57
Meghalaya,144,45,137,121,47,36,40,144,146
Mizoram,56,17,39,15,55,51,48,11,14
Nagaland,27,0,3,0,NA,0,51,4,11
Odisha,3225,1156,3711,3235,3466,3707,3699,4103,4984
Punjab,2242,1871,2008,2183,2408,2264,2253,2733,2517
Rajasthan,12350,12118,10892,11404,10361,10406,11395,10954,13358
Sikkim,90,100,25,59,7,30,28,18,45
Tamil Nadu,25909,23236,28922,27317,28265,21609,28804,38042,47055
Telangana,NA,NA,NA,NA,NA,NA,6266,15268.12,13615
Tripura,570,798,649,551,483,533,499,460,413
Uttarakhand,883,785,767,746,540,719,94,282,736
Uttar Pradesh,5363,5578,2810,5715,5704,3099,2561,6423,10184
West Bengal,3803,3687,274,0,5572,1607,3339,2906,1473
Andaman & Nicobar Islands,97,123,183,211,218,179,94,87,124
Chandigarh,65,225,41,NA,97,5,160,157,380
Dadra & Nagar Haveli,116,79,23,103,27,91,21,16,8
Daman & Diu,6,28,13,16,10,26,21,13,29
Delhi,0,616,507,NA,316, NA,NA,3148,1696
Lakshadweep,8,3,4,0,NA,0,1,0,0
Puducherry,1687,1675,1509,1414,924,1429,250,1028,1297
All India,247189,219305,227307,227536,223902,211252,208271,240463,268341
